상병코드,상병명
A51,조기 매독(Early syphilis)
A52,만기 매독(Late syphilis)
A53,기타 및 상세불명의 매독(Other and unspecified syphilis)
A54,임균성 감염(Gonococcal infection)
A55,클라미디아 림프육아종(성병성)(Chlamydial lymphogranuloma(venereum))
A56,기타 성행위로 전파되는 클라미디아성 질환(Other sexually transmitted chlamydial diseases)
A57,무른궤양(연성하감)(Chancroid)
A58,샅(서혜)육아종(Granuloma inguinale)
A59,편모충증(Trichomoniasis)
A60,항문성기의 헤르페스바이러스[단순 헤르페스] 감염(Anogenital herpesviral [herpes simplex] infection)
A63,"달리 분류되지 않은 주로 성행위로 전파되는 기타 질환(Other predominantly sexually transmitted diseases, NEC)"
A64,상세불명의 성행위로 전파되는 질환(Unspecified sexually transmitted disease) 
A65,비성병성 매독(Nonvenereal syphilis)
A66,요스(Yaws)
A67,핀타(Pinta[carate])
A68,재귀열(Relapsing fevers)
A69,기타 스피로헤타 감염(Other spirochaetal infections)
A70,클라미디아 시타시 감염(Chlamydia psittaci infection)
A74,클라미디아에 의한 기타 질환(Other diseases caused by chlamydiae)
A75,발진티푸스(Typhus fever)
A77,홍반열[진드기 매개 리켓치아병](Spotted fever [tick-borne rickettsioses])
A78,큐열(Q fever)
A79,기타 리켓치아병(Other rickettsioses)
A80,급성 회색질척수염(Acute poliomyelitis)
A81,중추 신경계통의 비정형 바이러스 감염(Atypical virus infections of central nervous system)
A82,광견병(Rabies)
A83,모기매개의 바이러스 뇌염(Mosquito-borne viral encephalitis)
A84,진드기매개의 바이러스 뇌염(Tick-borne viral encephalitis)
A85,"달리 분류되지 않은 기타 바이러스 뇌염(Other viral encephalitis, NEC)"
A86,상세불명의 바이러스 뇌염(Unspecified viral encephalitis)
A87,바이러스 수막염(Viral meningitis)
A88,"달리 분류되지 않은 중추신경계통의 기타 바이러스 감염(Other viral infections of central nervous system, NEC)"
A89,중추신경계통의 상세불명의 바이러스 감염(Unspecified viral infection of central nervous system)
A90,뎅기열[전형적 열](Dengue fever[classical dengue])
A91,뎅기출혈열(Dengue haemorrhagic fever)
A92,기타 모기 매개 바이러스 열(Other mosquito-borne viral fevers)
A93,"달리 분류되지 않은 기타 절지동물 매개의 바이러스 열(Other arthropod-borne viral fevers, NEC)"
A94,상세불명의 절지동물 매개 바이러스 열(Unspecified arthropod-borne viral fever)
A95,황열(Yellow fever)
A96,아레나바이러스 출혈열(Arenaviral haemorrhagic fever)
A98,"달리 분류되지 않은 기타 바이러스 출혈열(Other viral haemorrhagic fevers, NEC)"
A99,상세불명의 바이러스 출혈열(Unspecified viral haemorrhagic fever)
B00,헤르페스바이러스[단순 헤르페스] 감염(Herpesviral [herpes simplex] infections)
B01,수두(Varicella[chickenpox])
B02,대상포진(Zoster [herpes zoster])
B03,마마(Smallpox)
B04,원숭이두창(Monkeypox)
B05,홍역(Measles)
B06,풍진 [독일홍역](Rubella [German measles])
B07,바이러스성 사마귀(Viral warts)
B08,"달리 분류되지 않은 피부 및 점막병터가 특징인 기타 바이러스 감염(Other viral infections characterized by skin and mucous membrane lesions, NEC)"
B09,피부 및 점막병터가 특징인 상세불명의 바이러스 감염(Unspecified viral infection characterized by skin and mucous membrane lesions)
B15,급성 A형간염(Acute hepatitis A)
B16,급성 B형간염(Acute hepatitis B)
B17,기타 급성 바이러스간염(Other acute viral hepatitis)
B18,만성 바이러스간염(Chronic viral hepatitis)
B19,상세불명의 바이러스간염(Unspecified viral hepatitis)
B20,감염성 및 기생충성 질환을 유발한 인체면역결핍바이러스[HIV]병(Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases)
B21,악성신생물을 유발한 인체면역결핍바이러스병(Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms)
B22,기타 명시된 질환을 유발한 인체면역결핍바이러스병(Human immunodeficiency virus [HIV] disease resulting in other specified diseases)
B23,기타 병태를 유발한 인체면역결핍바이러스병(Human immunodeficiency virus [HIV] disease resulting in other conditions)
B24,상세불명의 인체면역결핍바이러스병(Unspecified human immunodeficiency virus [HIV] disease)
B25,거대세포바이러스병(Cytomegaloviral disease)
B26,볼거리(Mumps)
B27,감염성 단핵구증(Infectious mononucleosis)
B30,바이러스 결막염(Viral conjunctivitis)
B33,"달리 분류되지 않은 기타 바이러스 질환(Other viral diseases, NEC)"
B34,상세불명 부위의 바이러스 감염(Viral infection of unspecified site)
B35,백선증(Dermatophytosis)
B36,기타 얕은 진균증(Other superficial mycoses)
B37,칸디다증(Candidiasis)
B38,콕시디오이데스진균증(Coccidioidomycosis)
B39,히스토플라스마증(Histoplasmosis)
B40,분아균증(Blastomycosis)
B41,파라콕시디오이데스진균증(Paracoccidioidomycosis)
B42,스포로트리쿰증(Sporotrichosis)
B43,색소진균증 및 갈색진균성 고름집(농양)(Chromomycosis and phaeomycotic abscess)
B44,아스페르길루스증(Aspergillosis)
B45,크립토콕쿠스증(Cryptococcosis)
B46,접합균증(Zygomycosis)
B47,균종(Mycetoma)
B48,"달리 분류되지 않은 기타 진균증(Other mycoses, NEC)"
B49,상세불명의 진균증(Unspecified mycosis)
B50,열대열 말라리아(Plasmodium falciparum malaria)
B51,삼일열 말라리아(Plasmodium vivax malaria)
B52,사일열 말라리아(Plasmodium malariae malaria)
B53,기타 기생충학적으로 확인된 말라리아(Other parasitologically confirmed malaria)
B54,상세불명의 말라리아(Unspecified malaria)
B55,리슈만편모충증(Leishmaniasis)
B56,아프리카 파동편모충증(African trypanosomiasis)
B57,샤가스병(Chagas' disease)
B58,톡소포자충증(Toxoplasmosis)
B59,폐포자충증(Pneumocystosis)
B60,"달리 분류되지 않은 기타 원충질환(Other protozoal diseases, NEC)"
B64,상세불명의 원충병(Unspecified protozoal disease)
B65,주혈흡충증(Schistosomiasis [bilharziasis])
B66,기타 흡충 감염(Other fluke infections)
B67,포충증(Echinococcosis)
B68,조충증(Taeniasis)
B69,낭미충증(Cysticercosis)
B70,열두조충증 및 스파르가눔증(Diphyllobothriasis and sparganosis)
B71,기타 조충 감염(Other cestode infections)
B72,메디나충증(Dracunculiasis)
B73,회선사상충증(Onchocerciasis)
B74,사상충증(Filariasis)
B75,선모충증(Trichinellosis)
B76,구충 질환(Hookworm diseases)
B77,회충증(Ascariasis)
B78,분선충증(Strongyloidiasis)
B79,편충증(Trichuriasis)
B80,요충증(Enterobiasis)
B81,"달리 분류되지 않은 기타 창자 연충증(Other intestinal helminthiases, NEC)"
B82,상세불명의 창자 기생충증(Unspecified intestinal parasitism)
B83,기타 연충증(Other helminthiases)
B85,이 감염증 및 사면발이 감염증(Pediculosis and phthiriasis)
B86,옴(Scabies)
B87,구더기증(Myiasis)
B88,기타 감염증(Other infestations)
B89,상세불명의 기생충병(Unspecified parasitic disease)
B90,결핵의 후유증(Sequelae of tuberculosis)
B91,회색질척수염의 후유증(Sequelae of poliomyelitis)
B92,나병의 후유증(Sequelae of leprosy)
B94,기타 및 상세불명의 감염성 및 기생충성 질환의 후유증(Sequelae of other and unspecified infectious and parasitic diseases)
B95,다른 장에서 분류된 질환의 원인으로서의 사슬알균 및 포도알균(Streptococcus and staphylococcus as the cause of diseases classified to other chapters)
B96,다른 장에서 분류된 질환의 원인으로서의 기타 세균성 감염원(Other bacterial agents as the cause of diseases classified to other chapters)
B97,다른 장에서 분류된 질환의 원인으로서의 바이러스 감염원(Viral agents as the cause of diseases classified to other chapters)
B99,기타 및 상세불명의 감염성 질환(Other and unspecified infectious diseases)
C00,입술의 악성신생물(Malignant neoplasm of lip)
C01,혓바닥의 악성신생물(Malignant neoplasm of base of tongue)
C02,혀의 기타 및 상세불명 부위의 악성신생물(Malignant neoplasm of other and unspecified parts of tongue) 
C03,잇몸의 악성신생물(Malignant neoplasm of gum)
C04,입바닥의 악성신생물(Malignant neoplasm of floor of mouth)
C05,입천장의 악성신생물(Malignant neoplasm of palate)
C06,기타 및 상세불명의 구강의 악성신생물(Malignant neoplasm of other and unspecified parts of mouth)
C07,귀밑샘의 악성신생물(Malignant neoplasm of parotid gland)
C08,기타 및 상세불명의 주침샘의 악성신생물(Malignant neoplasm of other and unspecified  major salivary glands)
C09,편도의 악성신생물(Malignant neoplasm of tonsil)
C10,입인두의 악성신생물(Malignant neoplasm of oropharynx)
C11,코인두의 악성신생물(Malignant neoplasm of nasopharynx)
C12,조롱박굴의 악성신생물(Malignant neoplasm of pyriform sinus) 
C13,하인두의 악성신생물(Malignant neoplasm of hypopharynx)
C14,"입술, 구강 및 인두내의 기타 및 부위불명의 악성신생물(Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx)"
C15,식도의 악성신생물(Malignant neoplasm of oesophagus)
C16,위의 악성신생물(Malignant neoplasm of stomach)
C17,작은창자의 악성신생물(Malignant neoplasm of small intestine)
C18,결장의 악성신생물(Malignant neoplasm of colon)
C19,직장구불결장 이행부의 악성신생물(Malignant neoplasm of rectosigmoid junction)
C20,직장의 악성신생물(Malignant neoplasm of rectum)
C21,항문 및 항문관의 악성신생물(Malignant neoplasm of anus and anal canal)
C22,간 및 간내 쓸개관(담관)의 악성신생물(Malignant neoplasm of liver and intrahepatic bile ducts)
C23,쓸개(담낭)의 악성신생물(Malignant neoplasm of gallbladder)
C24,기타 및 상세불명 담도 부위의 악성신생물(Malignant neoplasm of other and unspecified parts of biliary tract)
C25,췌장(이자)의 악성신생물(Malignant neoplasm of pancreas)
C26,기타 및 부위불명 소화기의 악성신생물(Malignant neoplasm of other and ill-defined digestive organs)
C30,비강 및 가운데귀의 악성신생물(Malignant neoplasm of nasal cavity and middle ear)
C31,부비동의 악성신생물(Malignant neoplasm of accessory sinuses)
C32,후두의 악성신생물(Malignant neoplasm of larynx)
C33,기관의 악성신생물(Malignant neoplasm of trachea)
C34,기관지 및 폐의 악성신생물(Malignant neoplasm of bronchus and lung)
C37,가슴샘의 악성신생물(Malignant neoplasm of thymus)
C38,"심장, 종격동 및 가슴막의 악성신생물(Malignant neoplasm of heart, mediastinum and pleura)"
C39,기타 및 부위불명의 호흡기 및 가슴내 장기의 악성신생물(Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs)
C40,사지의 뼈 및 관절연골의 악성신생물(Malignant neoplasm of bone and articular cartilage of limbs)
C41,기타 및 상세불명 부위의 뼈 및 관절연골의 악성신생물(Malignant neoplasm of bone and articular cartilage of other and unspecified sites)
C43,피부의 악성 흑색종(Malignant melanoma of skin)
C44,기타 피부의 악성신생물(Other malignant neoplasms of skin)
C45,중피종(Mesothelioma)
C46,카포시 육종(Kaposi's sarcoma)
C47,말초 신경 및 자율 신경계통의 악성신생물(Malignant neoplasm of peripheral nerves and autonomic nervous system) 
C48,후복막 및 복막의 악성신생물(Malignant neoplasm of retroperitoneum and peritoneum)
C49,기타 결합 및 연조직의 악성신생물(Malignant neoplasm of other connective and soft tissue)
C50,유방의 악성신생물(Malignant neoplasm of breast)
C51,외음의 악성신생물(Malignant neoplasm of vulva)
C52,질의 악성신생물(Malignant neoplasm of vagina)
C53,자궁목의 악성신생물(Malignant neoplasm of cervix uteri)
C54,자궁체의 악성신생물(Malignant neoplasm of corpus uteri)
C55,"상세불명 자궁 부위의 악성신생물(Malignant neoplasm of uterus, part unspecified)"
C56,난소의 악성신생물(Malignant neoplasm of ovary)
C57,기타 및 상세불명의 여성 생식기관의 악성신생물(Malignant neoplasm of other and unspecified female genital organs)
C58,태반의 악성신생물(Malignant neoplasm of placenta)
C60,음경의 악성신생물(Malignant neoplasm of penis)
C61,전립샘의 악성신생물(Malignant neoplasm of prostate)
C62,고환의 악성신생물(Malignant neoplasm of testis)
C63,기타 및 상세불명의 남성 생식기관의 악성신생물(Malignant neoplasm of other and unspecified male genital organs)
C64,"콩팥깔때기를 제외한 콩팥(신장)의 악성신생물(Malignant neoplasm of kidney, except renal pelvis)"
C65,콩팥깔때기의 악성신생물(Malignant neoplasm of renal pelvis)
C66,요관의 악성신생물(Malignant neoplasm of ureter)
C67,방광의 악성신생물(Malignant neoplasm of bladder)
C68,기타 및 상세불명의 비뇨기관의 악성신생물(Malignant neoplasm of other and unspecified urinary organs)
C69,눈 및 부속기의 악성신생물(Malignant neoplasm of eye and adnexa)
C70,수막의 악성신생물(Malignant neoplasm of meninges)
C71,뇌의 악성신생물(Malignant neoplasm of brain)
C72,"척수, 뇌신경 및 중추 신경계통의 기타 부위의 악성신생물(Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system)"
C73,갑상샘의 악성신생물(Malignant neoplasm of thyroid gland)
C74,부신의 악성신생물(Malignant neoplasm of adrenal gland)
C75,기타 내분비샘 및 관련 구조물의 악성신생물(Malignant neoplasm of other endocrine glands and related structures)
C76,기타 및 부위불명의 악성신생물(Malignant neoplasm of other and ill-defined sites)
C77,림프절의 속발성 및 상세불명의 악성신생물(Secondary and unspecified malignant neoplasm of lymph nodes)
C78,호흡기 및 소화기관의 속발성 악성신생물(Secondary malignant neoplasm of respiratory and digestive organs)
C79,기타 부위의 속발성 악성신생물(Secondary malignant neoplasm of other sites)
C80,부위의 명시가 없는 악성신생물(Malignant neoplasm without specification of site)
C81,호지킨병(Hodgkin's disease)
C82,여포성[결절성] 비호지킨 림프종(Follicular[nodular] non-hodgkin's lymphoma) 
C83,미만성 비호지킨 림프종(Diffuse non-Hodgkin's lymphoma)
C84,말초 및 피부성 T-세포 림프종(Peripheral and cutaneous T-cell lymphomas)
C85,기타 및 상세불명 형의 비호지킨 림프종(Other and unspecified types of non-Hodgkin's lymphoma)
C88,악성 면역증식성 질환(Malignant immunoproliferative diseases)
C90,다발성 골수종 및 악성 형질세포 신생물(Multiple myeloma and malignant plasma cell neoplasms)
C91,림프 백혈병(Lymphoid leukaemia)
C92,골수성 백혈병(Myeloid leukaemia)
C93,단핵구성 백혈병(Monocytic leukaemia)
C94,명시된 세포형의 기타 백혈병(Other leukaemias of specified cell type)
C95,상세불명 세포형의 백혈병(Leukaemia of unspecified cell type)
C96,"림프, 조혈 및 관련 조직의 기타 및 상세불명의 악성신생물(Other and un- specified malignant neoplasms of lymphoid, haematopoietic and related tissue)"
C97,독립된(원발성) 다발성 부위의 악성신생물(Malignant neoplasms of independent (primary) multiple sites)
D00,"구강, 식도 및 위의 상피내 암종(Carcinoma in situ of oral cavity, oesophagus and stomach)"
D01,기타 및 상세불명의 소화기관의 상피내 암종(Carcinoma in situ of other and unspecified digestive organs)
D02,가운데귀 및 호흡기계통의 상피내 암종(Carcinoma in situ of middle ear and respiratory system)
D03,상피내의 흑색종(Melanoma in situ)
D04,피부의 상피내 암종(Carcinoma in situ of skin)
D05,유방의 상피내 암종(Carcinoma in situ of breast)
D06,자궁목의 상피내 암종(Carcinoma in situ of cervix uteri)
D07,기타 및 상세불명의 생식기관의 상피내 암종(Carcinoma in situ of other and unspecified genital organs)
D09,기타 및 상세불명 부위의 상피내 암종(Carcinoma in situ of other and unspecified sites)
D10,입 및 인두의 양성신생물(Benign neoplasm of mouth and pharynx)
D11,주침샘의 양성신생물(Benign neoplasm of major salivary glands)
D12,"결장, 직장, 항문 및 항문관의 양성신생물(Benign neoplasm of colon, rectum, anus and anal canal)"
D13,기타 및 부위불명 소화기계통의 양성신생물(Benign neoplasm of other and ill-defined parts of digestive system)
D14,가운데귀 및 호흡기계통의 양성신생물(Benign neoplasm of middle ear and respiratory system)
D15,기타 및 상세불명의 가슴내 장기의 양성신생물(Benign neoplasm of other and unspecified intrathoracic organs)
D16,뼈 및 관절연골의 양성신생물(Benign neoplasm of bone and arcticular cartilage)
D17,양성 지방종성 신생물(Benign lipomatous neoplasm)
D18,"모든 부위의 혈관종 및 림프관종(Haemangioma and lymphangioma, any site)"
D19,중피성 조직의 양성신생물(Benign neoplasm of mesothelial tissue)
D20,후복막 및 복막 연조직의 양성신생물(Benign neoplasm of soft tissue of retroperitoneum and peritoneum)
D21,결합조직 및 기타 연조직의 기타 양성신생물(Other benign neoplasms of connective and other soft tissue)
D22,색소 세포성 모반(Melanocytic naevi)
D23,피부의 기타 양성신생물(Other benign neoplasms of skin)
D24,유방의 양성신생물(Benign neoplasm of breast)
D25,자궁의 평활근종(Leiomyoma of uterus)
D26,자궁의 기타 양성신생물(Other benign neoplasms of uterus)
D27,난소의 양성신생물(Benign neoplasm of ovary)
D28,기타 및 상세불명의 여성 생식기관의 양성신생물(Benign neoplasm of other and unspecified female genital organs)
D29,남성 생식기관의 양성신생물(Benign neoplasm of male genital organs)
D30,비뇨기관의 양성신생물(Benign neoplasm of urinary organs)
D31,눈 및 눈부속기의 양성신생물(Benign neoplasm of eye and adnexa)
D32,수막의 양성신생물(Benign neoplasm of meninges)
D33,뇌 및 기타 중추 신경계통 부위의 양성신생물(Benign neoplasm of brain and other parts of central nervous system)
D34,갑상샘의 양성신생물(Benign neoplasm of thyroid gland)
D35,기타 및 상세불명의 내분비샘의 양성신생물(Benign neoplasm of other and unspecified endocrine glands)
D36,기타 및 상세불명 부위의 양성신생물(Benign neoplasm of other and un- specified sites)
D37,구강 및 소화기관의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs)
D38,"가운데귀, 호흡기, 가슴내 장기의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs)"
D39,여성 생식기관의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of female genital organs)
D40,남성 생식기관의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of male genital organs)
D41,비뇨기관의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of urinary organs)
D42,수막의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of meninges)
D43,뇌 및 중추 신경계통의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of brain and central nervous system)
D44,내분비샘의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of endocrine glands)
D45,진성 적혈구 증다증(Polycythaemia vera)
D46,골수 형성이상 증후군(Myelodysplastic syndromes)
D47,"림프, 조혈 및 관련조직의 행동양식 불명 및 미상의 기타 신생물(Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue)  "
D48,기타 및 상세불명 부위의 행동양식 불명 또는 미상의 신생물(Neoplasm of uncertain or unknown behaviour of other and unspecified sites)
D50,철결핍성 빈혈(Iron deficiency anaemia)
D51,비타민 B12 결핍성 빈혈(Vitamin B12 deficiency anaemia)
D52,엽산 결핍성 빈혈(Folate deficiency anaemia)
D53,기타 영양성 빈혈(Other nutritional anaemias)
D55,효소 장애에 의한 빈혈(Anaemia due to enzyme disorders)
D56,지중해빈혈(Thalassaemia)
D57,낫적혈구 장애(Sickle-cell disorders)
D58,기타 유전성 용혈성 빈혈(Other hereditary haemolytic anaemias)
D59,후천성 용혈성 빈혈(Acquired haemolytic anaemia)
D60,후천성 순수적혈구 무형성[적모구감소증](Acquired pure red cell aplasia [erythroblastopenia])
D61,기타 무형성 빈혈(Other aplastic anaemias)
D62,급성 출혈후 빈혈(Acute posthaemorrhagic anaemia)
D63*  ,달리 분류된 만성 질환에서의 빈혈(Anaemia in chronic diseases classified elsewhere)
D64,기타 빈혈(Other anaemias)
D65,파종성 혈관내 응고[탈섬유소증후군](Disseminated intravascular coagulation   [defibrination syndrome])
D66,유전성 제8인자 결핍증(Hereditary factor Ⅷ deficiency)
D67,유전성 제9인자 결핍증(Hereditary factor Ⅸ deficiency)
D68,기타 응고 결함(Other coagulation defects)
D69,자색반증 및 기타 출혈성 병태(Purpura and other haemorrhagic conditions)
D70,무과립세포증(Agranulocytosis)
D71,다형핵 호중구의 기능적 장애(Functional disorders of polymorphonuclear neutrophils)
D72,백혈구의 기타 장애(Other disorders of white blood cells)
D73,지라의 질환(Diseases of spleen)
D74,메트헤모글로빈혈증(Methaemoglobinaemia)
D75,혈액 및 조혈기관의 기타 질환(Other diseases of blood and blood-forming organs)
D76,림프세망조직 및 세망조직구성 계통을 침범하는 특정 질환(Certain diseases involving lymphoreticular tissue and reticulohistiocytic system)
D77*  ,달리 분류된 질환에서 혈액 및 조혈기관의 기타장애(Other disorders of blood and blood-forming organs in diseases classified elsewhere)
D80,항체결손이 현저한 면역결핍증(Immunodeficiency with predominantly antibody defects) 
D81,복합 면역결핍증(Combined immunodeficiencies)
D82,기타 주요 결손과 관련된 면역결핍증(Immunodeficiency associated with other major defects)
D83,공통 가변성 면역결핍증(Common variable immunodeficiency)
D84,기타 면역결핍증(Other immunodeficiencies)
D86,사르코이도시스(Sarcoidosis)
D89,"달리 분류되지 않은 면역기전을 침범하는 기타 장애(Other disorders involving the immune mechanism, NEC)"
E00,선천 요오드결핍 증후군(Congenital iodine-deficiency syndrome)
E01,요오드결핍과 관련된 갑상샘 장애 및 동류의 병태(Iodine-deficiency-related thyroid disorders and allied conditions)
E02,준임상적인 요오드결핍 갑상샘 기능저하증(Subclinical iodine-deficiency hypothyroidism)
E03,기타 갑상샘 기능저하증(Other hypothyroidism)
E04,기타 비중독성 갑상샘종(Other nontoxic goitre)
E05,갑상샘중독증[갑상샘 기능항진증](Thyrotoxicosis[hyperthyroidism])
E06,갑상샘염(Thyroiditis)
E07,갑상샘의 기타 장애(Other disorders of thyroid)
E10,인슐린-의존 당뇨병(Insulin-dependent diabetes mellitus)
E11,인슐린-비의존 당뇨병(Non-insulin-dependent diabetes mellitus)
E12,영양실조와 관련된 당뇨병(Malnutrition-related diabetes mellitus)
E13,기타 명시된 당뇨병(Other specified diabetes mellitus)
E14,상세불명의 당뇨병(Unspecified diabetes mellitus)
E15,비당뇨성 저혈당성 혼수(Nondiabetic hypoglycaemic coma)
E16,췌장(이자)성 내분비의 기타 장애(Other disorders of pancreatic internal secretion)
E20,부갑상샘 기능저하증(Hypoparathyroidism)
E21,부갑상샘 기능항진증 및 부갑상샘의 기타 장애(Hyperparathyroidism and other disorders of parathyroid gland)
E22,뇌하수체의 기능항진증(Hyperfunction of pituitary gland)
E23,뇌하수체의 기능저하증 및 기타 장애(Hypofunction and other disorders of pituitary gland)
E24,쿠싱 증후군(Cuching's syndrome)
E25,부신성기 장애(Adrenogenital disorders)
E26,고알도스테론증(Hyperaldosteronism)
E27,부신의 기타 장애(Other disorders of adrenal gland)
E28,난소의 기능이상(Ovarian dysfunction)
E29,고환의 기능이상(Testicular dysfunction)
E30,"달리 분류되지 않은 사춘기의 장애(Disorders of puberty, NEC)"
E31,뭇샘성 기능이상(Polyglandular dysfunction)
E32,가슴샘의 질환(Diseases of thymus)
E34,기타 내분비 장애(Other endocrine disorders)
E35*  ,달리 분류된 질환에서의 내분비샘 장애(Disorders of endocrine glands in diseases classified elsewhere)
E40,콰시오르코르(Kwashiorkor)
E41,영양성 소모증(Nutritional marasmus)
E42,소모성 콰시오르코르(Marasmic Kwashiorkor)
E43,상세불명의 중증 단백칼로리 영양실조(Unspecified severe protein-energy malnutrition)
E44,중등도 및 경도의 단백칼로리 영양실조(Protein-energy malnutrition of moderate and mild degree)
E45,단백칼로리 영양실조로 인한 발육지체(Retarded development following protein- energy malnutrition)
E46,상세불명의 단백칼로리 영양실조(Unspecified protein-energy malnutrition)
E50,비타민 A 결핍증(Vitamin A deficiency)
E51,티아민 결핍증(Thiamine deficiency)
E52,니아신 결핍증[펠라그라](Niacin deficiency[Pellagra])
E53,기타 비타민 B군의 결핍증(Deficiency of other B group vitamins)
E54,아스코르빈산 결핍증(Ascorbic acid deficiency)
E55,비타민 D 결핍증(Vitamin D deficiency)
E56,기타 비타민 결핍증(Other vitamin deficiencies)
E58,식이성 칼슘 결핍증(Dietary calcium deficiency)
E59,식이성 셀레니움 결핍증(Dietary selenium deficiency)
E60,식이성 아연 결핍증(Dietary zinc deficiency)
E61,기타 영양소의 결핍증(Deficiency of other nutrient elements)
E63,기타 영양결핍증(Other nutritional deficiencies)
E64,영양실조 및 기타 영양 결핍증의 후유증(Sequelae of malnutrition and other nutritional deficiencies)
E65,국한성 지방축적(Localized adiposity)
E66,비만(Obesity)
E67,기타 과영양(Other hyperalimentation)
E68,과영양의 후유증(Sequelae of hyperalimentation)
E70,방향성 아미노산대사 장애(Disorders of aromatic amino-acid metabolism)
E71,측쇄 아미노산대사 및 지방산 대사 장애(Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism)
E72,아미노산 대사의 기타 장애(Other disorders of amino-acid metabolism)
E73,유당불내증(Lactose intolerance)
E74,탄수화물 대사의 기타 장애(Other disorders of carbohydrate metabolism)
E75,스핑고지질 대사 장애 및 기타 지질축적 장애(Disorders of sphingolipid metabolism and other lipid storage disorders)
E76,글라이코스아미노글라이칸 대사 장애(Disorders of glycosaminoglycan meta- bolism)
E77,당단백질 대사 장애(Disorders of glycoprotein metabolism)
E78,지단백질 대사 장애 및 기타 지혈증(Disorders of lipoprotein metabolism and other lipidaemias)
E79,퓨린 및 피리미딘 대사 장애(Disorders of purine and pyrimidine metabolism)
E80,포르피린 및 빌리루빈 대사 장애(Disorders of porphyrin and bilirubin meta- bolism)
E83,무기질 대사 장애(Disorders of mineral metabolism)
E84,낭성 섬유증(Cystic fibrosis)
E85,아밀로이드증(Amyloidosis)
E86,용적체액상실(Volume depletion)
E87,"수분, 전해질 및 산-염기균형의 기타 장애(Other disorders of fluid, electrolyte and acid-base balance)"
E88,기타 대사 장애(Other metabolic disorders)
E89,"달리 분류되지 않은 처치후의 내분비 및 대사 장애(Postprocedural endocrine and metabolic disorders, NEC)"
